,index,brand,model,price,rating,processor_brand,processor_tier,num_cores,num_threads,ram_memory,primary_storage_type,primary_storage_capacity,gpu_brand,gpu_type,is_touch_screen,display_size,resolution_width,resolution_height,os,year_of_warranty,cluster
21,22,lenovo,Lenovo V15 G4 82YU00W7IN Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home),335.7,59,amd,ryzen 3,4,8,8,SSD,512,amd,integrated,0,15.6,1920,1080,windows,1,14
22,23,apple,Apple MacBook Pro 16 2023 Laptop (Apple M3 Max/ 48GB/ 1TB SSD/ macOS),4796.16,65,apple,m3,16,16,8,SSD,1024,apple,apple,0,16.2,3456,2234,mac,1,142
23,24,asus,Asus Vivobook 15 X1502ZA-EJ385WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),479.62,57,intel,core i3,10,12,8,SSD,512,intel,integrated,0,15.6,1920,1080,windows,1,15
24,25,asus,Asus VivoBook 15 X1500EA-EJ311W Laptop (11th Gen Core i3/ 8GB/ 256GB SSD/ Win11),335.7,57,intel,core i3,2,4,8,SSD,256,intel,integrated,0,15.6,1920,1080,windows,1,74
25,26,acer,Acer Nitro V ANV15-51 2023 Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),935.36,63,intel,core i5,8,12,16,SSD,512,nvidia,dedicated,0,15.6,1920,1080,windows,1,47
26,27,hp,HP Victus 16-s0094AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),947.36,77,amd,ryzen 7,8,16,16,SSD,1024,nvidia,dedicated,0,16.1,1920,1080,windows,1,72
27,28,ultimus,Ultimus Elite NU14U3INF56BN-CS Laptop (10th Gen Core i5 / 8GB/ 512GB SSD/ Win11 Home),239.75,54,intel,core i5,4,8,8,SSD,512,intel,integrated,0,14.1,1920,1080,windows,1,89
28,30,hp,HP Pavilion 15-eg3081TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),863.51,66,intel,core i5,12,16,16,SSD,512,intel,integrated,0,15.6,1920,1080,windows,1,84
29,31,msi,MSI GF63 Thin 11UC-1294IN Gaming Laptop (11th Gen Core i7/ 16GB/ 1TB 256GB SSD/ Win11/ 4GB Graph),800.92,76,intel,core i7,8,16,16,HDD,1024,nvidia,dedicated,0,15.6,1920,1080,windows,1,21
30,32,samsung,Samsung Galaxy Book2 NP550XED-KA1IN 15 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),539.58,59,intel,core i5,10,12,8,SSD,512,intel,integrated,0,15.6,1920,1080,windows,1,15
31,33,samsung,Samsung Galaxy Book2 NP550XED-KA2IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),575.56,62,intel,core i5,10,12,16,SSD,512,intel,integrated,0,15.6,1920,1080,windows,1,107
32,34,lenovo,Lenovo IdeaPad Gaming 3 15IHU6 82K101GSIN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),575.56,71,intel,core i5,4,8,8,SSD,512,nvidia,dedicated,0,15.6,1920,1080,windows,1,148
33,35,asus,Asus Vivobook 16X 2022 M1603QA-MB502WS Laptop (Ryzen 5-5600H/ 8GB/ 512GB SSD/ Win11 Home),563.57,65,amd,ryzen 5,6,12,8,SSD,512,amd,integrated,0,16.0,1920,1200,windows,1,64
34,36,apple,Apple MacBook Air 2022 Laptop (Apple M2/ 8GB/ 256GB SSD/ MacOS),1235.2,48,apple,m2,8,8,8,SSD,256,apple,apple,0,13.6,2560,1664,mac,1,113
35,37,dell,Dell G15-5520 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),818.42,66,intel,core i5,12,16,16,SSD,512,nvidia,dedicated,0,15.6,1920,1080,windows,1,80
36,38,acer,Acer Aspire Lite AL15-52 15 Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win11),563.57,64,intel,core i5,10,12,16,SSD,1024,intel,integrated,0,15.6,1920,1080,windows,1,25
37,39,acer,Acer Aspire Lite 15 AL15-52 Laptop (12th Gen Core i3/ 16GB/ 512GB SSD/ Win11),419.65,60,intel,core i3,6,8,16,SSD,512,intel,integrated,0,15.6,1920,1080,windows,1,4
38,40,hp,HP 15s-fr5011TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),647.52,62,intel,core i5,10,12,16,SSD,512,intel,integrated,0,15.6,1920,1080,windows,1,84
39,41,asus,Asus Vivobook 16X 2023 K3605ZF-MB541WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),767.46,72,intel,core i5,8,12,16,SSD,512,nvidia,dedicated,0,16.0,1920,1200,windows,1,3
40,42,asus,Asus ROG Flow X13 GV301RC-LJ132WS Gaming Laptop (AMD Ryzen 9 6900HS/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),1362.1,77,amd,ryzen 9,8,16,16,SSD,512,nvidia,dedicated,1,13.4,1920,1200,windows,1,131
41,43,hp,HP Victus 15-fa1062TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),1065.01,71,intel,core i5,12,16,16,SSD,512,nvidia,dedicated,0,15.6,1920,1080,windows,1,38
42,45,hp,HP Victus 15-fb0150AX Gaming Laptop (AMD Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),642.49,71,amd,ryzen 5,6,12,16,SSD,512,amd,dedicated,0,15.6,1920,1080,windows,1,28
43,46,hp,HP Omen 16-xf0060AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),1403.11,80,amd,ryzen 7,8,16,16,SSD,1024,nvidia,dedicated,0,16.0,1920,1080,windows,1,72
44,47,hp,HP Victus 15-fa0555TX  Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),849.25,71,intel,core i5,8,12,16,SSD,512,nvidia,dedicated,0,15.6,1920,1080,windows,1,38
45,48,dell,Dell G15-5530 GN5530D83M6002ORB1 Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),974.94,71,intel,core i5,10,16,16,SSD,512,nvidia,dedicated,0,15.6,1920,1080,windows,1,80
46,49,msi,MSI Modern 14 C11M-030IN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),431.16,58,intel,core i5,4,8,8,SSD,512,intel,integrated,0,14.0,1920,1080,windows,1,89
47,50,asus,Asus ROG Strix SCAR 16 2023 G634JZ-NM057WS Gaming Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win11 Home/ 12GB Graph),3238.1,83,intel,core i9,24,32,32,SSD,1024,nvidia,dedicated,0,16.0,2560,1600,windows,1,29
48,51,msi,MSI Thin GF63 12VE-071IN Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/6GB Graphics),839.42,70,intel,core i5,8,12,16,SSD,512,nvidia,dedicated,0,15.6,1920,1080,windows,2,7
49,53,dell,Dell Vostro 3425 Laptop (AMD Ryzen 5 5625U/ 8GB/ 512GB SSD/ Win11 Home),475.53,66,amd,ryzen 5,6,12,8,SSD,512,amd,integrated,0,14.0,1920,1080,windows,1,57
50,56,infinix,Infinix INBook Y1 Plus 15 XL28 Laptop (10th Gen Core i5/ 8GB/ 512GB SSD/ Win 11 Home),359.68,54,intel,core i5,4,8,8,SSD,512,intel,integrated,0,15.6,1920,1080,windows,1,74
51,57,acer,Acer Aspire Lite AL15-52 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),395.66,58,intel,core i3,6,8,8,SSD,512,intel,integrated,0,15.6,1920,1080,windows,1,49
52,58,hp,HP Victus 16-s0095AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),1002.53,76,amd,ryzen 7,8,16,16,SSD,512,nvidia,dedicated,0,16.1,1920,1080,windows,1,32
53,59,hp,HP Victus 15-FB1001AX Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),653.52,70,amd,ryzen 5,6,12,8,SSD,512,nvidia,dedicated,0,15.6,1920,1080,windows,1,11
54,60,hp,HP 15s-eq2132AU Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11 Home),509.71,63,amd,ryzen 5,6,12,16,SSD,512,amd,integrated,0,15.6,1920,1080,windows,1,121
55,61,infinix,Infinix INBook X3 Slim XL422 2023 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win 11 Home),335.7,50,intel,core i3,6,8,8,SSD,512,intel,integrated,0,14.0,1920,1080,windows,1,89
56,62,hp,HP Omen 16-u0005TX Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),1774.9,80,intel,core i7,16,24,16,SSD,1024,nvidia,dedicated,0,16.1,2560,1600,windows,1,27
57,63,asus,Asus TUF Gaming F17 FX707ZC4-HX067W Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),888.53,75,intel,core i5,12,16,16,SSD,512,nvidia,dedicated,0,17.3,1920,1080,windows,1,43
58,64,dell,Dell Inspiron 5430 Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11),1037.31,66,intel,core i7,12,16,16,SSD,1024,intel,integrated,0,14.0,1920,1200,windows,1,5
59,65,asus,Asus Vivobook 15 X1502ZA-EJ741WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),731.48,67,intel,core i7,10,16,16,SSD,512,intel,integrated,0,15.6,1920,1080,windows,1,31
60,66,lenovo,Lenovo Ideapad Gaming 3 82SB00NXIN Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),683.5,69,amd,ryzen 5,6,12,16,SSD,512,nvidia,dedicated,0,15.6,1920,1080,windows,1,114
61,67,dell,Dell Inspiron 5630 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),869.4,70,intel,core i5,12,16,16,SSD,512,intel,integrated,0,16.0,2560,1600,windows,1,52
62,68,asus,Asus VivoBook 14 X415EA-EK344WS Notebook (11th Gen Core i3/ 16GB/ 512GB SSD/ Win11 Home),431.64,64,intel,core i3,2,4,16,SSD,512,intel,integrated,0,14.0,1920,1080,windows,1,46
63,69,asus,Asus TUF Gaming F15 2023 FX507ZV-LP094W Gaming Laptop (12th Gen Core i7/ 16GB/512GB SSD/ Win11 Home/ 8GB Graph),1307.16,78,intel,core i7,14,20,16,SSD,512,nvidia,dedicated,0,15.6,1920,1080,windows,1,30
64,70,asus,Asus TUF Gaming F15 FX506HF-HN025W Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),695.5,72,intel,core i5,6,12,16,SSD,512,nvidia,dedicated,0,15.6,1920,1080,windows,1,3
65,71,hp,HP Victus 15-fa0998TX Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),839.53,72,intel,core i5,8,12,16,SSD,512,nvidia,dedicated,0,15.6,1920,1080,windows,1,38
66,72,hp,HP Victus 15-fa0666TX Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),863.4,65,intel,core i5,8,12,16,SSD,512,nvidia,dedicated,0,15.6,1920,1080,windows,1,38
67,73,apple,Apple MacBook Air 15 2023 Laptop (Apple M2/ 8GB/ 256GB SSD/ MacOS),1439.09,53,apple,m2,8,8,8,SSD,256,apple,apple,0,15.3,2880,1864,mac,1,88
68,74,infinix,Infinix INBook Y1 Plus Neo XL30 Laptop (Intel Celeron N5100/ 8GB/ 512GB SSD/ Win 11 Home),323.7,53,intel,celeron,4,4,8,SSD,512,intel,integrated,0,15.6,1920,1080,windows,1,74
69,75,hp,HP Pavilion x360 14-ek1010TU Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11),934.27,70,intel,core i5,10,12,16,SSD,1024,intel,integrated,1,14.0,1920,1080,windows,1,5
70,76,primebook,Primebook 4G Android Laptop (MediaTek Kompanio 500/ 4GB/ 64GB eMMC/ Android 11),179.78,26,other,other,8,0,4,HDD,64,arm,integrated,0,11.6,1366,768,android,1,60
71,77,dell,Dell Inspiron 3520 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),599.67,60,intel,core i5,10,12,8,SSD,512,intel,integrated,0,15.6,1920,1080,windows,1,15
72,78,acer,Acer Aspire 5 A515-57G UN.K9TSI.002 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),683.5,71,intel,core i5,12,16,16,SSD,512,nvidia,dedicated,0,15.6,1920,1080,windows,1,47
73,79,hp,HP Victus 15-fa0070TX Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),695.5,70,intel,core i5,8,12,8,SSD,512,nvidia,dedicated,0,15.6,1920,1080,windows,1,19
74,80,hp,HP Victus 16-e0352AX Gaming Laptop (Ryzen 5-5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),599.66,70,amd,ryzen 5,6,12,8,SSD,512,nvidia,dedicated,0,16.1,1920,1080,windows,1,11
75,81,asus,Asus Vivobook S14 OLED S3402ZA-KM501WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),869.4,62,intel,core i5,12,16,16,SSD,512,intel,integrated,0,14.0,2880,1800,windows,1,13
76,82,asus,Asus Vivobook S15 OLED K3502ZA-L501WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),835.81,64,intel,core i5,12,16,16,SSD,512,intel,integrated,0,15.6,1920,1080,windows,1,31
77,83,iball,iBall Excelance CompBook Laptop (AQC/ 2GB/ 32GB/Win10),117.54,41,intel,other,4,0,2,HDD,32,intel,integrated,0,11.6,1366,768,windows,1,105
78,84,ultimus,Ultimus Lite NU14U3INC54BN Laptop (Celeron N4020/ 8GB/ 256GB SSD/ Win11 Home),191.77,46,intel,celeron,2,2,8,SSD,256,intel,integrated,0,14.1,1366,768,windows,1,39
79,85,dell,Dell G15-5530 Gaming Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),1007.32,72,intel,core i5,10,16,16,SSD,1024,nvidia,dedicated,0,15.6,1920,1080,windows,1,20
80,86,asus,Asus VivoBook 14 X1400EA-EK543WS Notebook (11th Gen Core i5/16GB/ 512GB SSD/ Win11 Home),563.57,57,intel,core i5,4,8,16,SSD,512,intel,integrated,0,14.0,1920,1080,windows,1,46
81,87,hp,HP Pavilion 15-EG2119TU Laptop (12th Gen Core i5/12GB RAM/ 512GB SSD/ Win11),731.48,54,intel,core i5,12,16,12,SSD,512,intel,integrated,0,15.6,1920,1080,windows,1,135
82,88,lenovo,Lenovo IdeaPad Slim 3 82X60013IN Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11),539.58,51,intel,core i3,5,6,8,SSD,512,intel,integrated,0,15.6,1920,1080,windows,1,82
83,89,lenovo,Lenovo ThinkBook 15 G5 21JF002JIN Laptop (AMD Ryzen 3 7330U/ 8 GB/ 512 GB SSD/ Win11),419.65,66,amd,ryzen 3,4,8,8,SSD,512,amd,integrated,0,15.6,1920,1080,windows,1,14
84,90,hp,HP Victus 15-fa1145TX Gaming Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph),803.44,72,intel,core i5,8,12,16,SSD,1024,nvidia,dedicated,0,15.6,1920,1080,windows,1,20
85,91,lenovo,Lenovo V15 G4 Laptop (AMD Athlon Silver 7120U/ 8GB/ 512GB SSD/ Win11 Home),293.12,47,amd,other,2,2,8,SSD,512,amd,integrated,0,15.6,1920,1080,windows,1,14
86,92,hp,HP Victus 15-fb1002AX Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),623.54,70,amd,ryzen 5,6,12,8,SSD,512,nvidia,dedicated,0,15.6,1920,1080,windows,1,11
87,93,msi,MSI Thin GF63 11SC-1629IN Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),659.52,65,intel,core i5,6,12,16,SSD,512,nvidia,dedicated,0,15.6,1920,1080,windows,2,7
88,94,ultimus,Ultimus Pro NU14U3INC43BN-CS Laptop (Celeron N4020/ 4GB/ 128GB SSD/ Win11 Home),143.8,41,intel,celeron,2,2,4,SSD,128,intel,integrated,0,14.1,1366,768,windows,1,39
89,95,lenovo,Lenovo ThinkBook 15 G5 21JFA00BIN Laptop (AMD Ryzen 7 7730U/ 8 GB/ 512 GB SSD/ Win11),587.56,70,amd,ryzen 7,8,16,8,SSD,512,amd,integrated,0,15.6,1920,1080,windows,1,132
90,96,msi,MSI Katana 15 B13UDXK-1482IN Gaming Laptop (13th Gen Core i5/ 32GB/ 1TB SSD/ Win11 Home/ 6GB Graph),899.38,75,intel,core i5,12,16,32,SSD,1024,nvidia,dedicated,0,15.6,1920,1080,windows,2,26
91,97,msi,MSI Bravo 15 B7ED-012IN Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),599.55,65,amd,ryzen 5,6,12,8,SSD,512,amd,dedicated,0,15.6,1920,1080,windows,1,11
92,98,asus,Asus Vivobook 15 X1502ZA-EJ544WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),647.52,63,intel,core i5,12,16,16,SSD,512,intel,integrated,0,15.6,1920,1080,windows,1,31
93,99,asus,Asus Vivobook 16 2023 X1605VA-MB947WS Laptop (13th Gen Core i9/ 16GB/ 512GB SSD/ Win11 Home),979.73,71,intel,core i9,14,20,16,SSD,512,intel,integrated,0,16.0,1920,1200,windows,1,31
94,100,lenovo,Lenovo IdeaPad Gaming 3 82SB00V3IN Laptop (AMD Ryzen 5 6600H/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),766.25,63,amd,ryzen 5,6,12,16,SSD,512,nvidia,dedicated,0,15.6,1920,1080,windows,1,114
95,101,lenovo,Lenovo IdeaPad Slim 3 82RK00VWIN Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),444.24,59,intel,core i3,6,8,8,SSD,512,intel,integrated,0,15.6,1920,1080,windows,1,82
96,102,asus,Asus ROG Strix G16 2023 G614JJ-N3086WS Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),1139.25,70,intel,core i5,10,16,16,SSD,512,nvidia,dedicated,0,16.0,1920,1200,windows,1,3
97,103,infinix,Infinix INBook X2 Slim Series XL23 2023 Laptop (11th Gen Core i5/ 16GB/ 1TB SSD/ Win 11 Home),431.64,60,intel,core i5,4,8,16,SSD,1024,intel,integrated,0,14.0,1920,1080,windows,1,44
98,104,asus,Asus Vivobook Pro 15 M6500RC-HN741WS Laptop (AMD Ryzen 7 6800H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),875.4,70,amd,ryzen 7,8,16,16,SSD,512,nvidia,dedicated,0,15.6,1920,1080,windows,1,85
99,105,hp,HP Victus 15-fb1016AX  Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),671.51,67,amd,ryzen 5,6,12,8,SSD,512,nvidia,dedicated,0,15.6,1920,1080,windows,1,11
100,106,lenovo,Lenovo Yoga 7 82YM0074IN Laptop (AMD Ryzen 7 7735U/ 16GB/ 1TB SSD/ Win11 Home),1139.25,80,amd,ryzen 7,8,16,16,SSD,1024,amd,integrated,1,14.0,2880,1800,windows,1,86
101,107,hp,HP 15S-FQ5202TU Laptop (12th Gen Core i5/ 8 GB RAM/ 512 GB SSD/ Win 11),621.26,57,intel,core i5,10,12,8,SSD,512,intel,integrated,0,15.6,1920,1080,windows,1,135
102,109,hp,HP Victus15-fb0147AX Gaming Laptop (Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),596.97,62,amd,ryzen 5,6,12,8,SSD,512,amd,dedicated,0,15.6,1920,1080,windows,1,28
103,110,asus,Asus TUF Gaming F15  FX506HF-HN075W Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),647.52,66,intel,core i5,6,12,8,SSD,512,nvidia,dedicated,0,15.6,1920,1080,windows,1,19
104,112,lenovo,Lenovo LOQ 15IRH8 82XV00F5IN 2023 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),959.35,70,intel,core i5,8,12,16,SSD,512,nvidia,dedicated,0,15.6,1920,1080,windows,1,111
105,113,msi,MSI Modern 15 B11M-061IN Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),503.6,63,intel,core i5,4,8,16,SSD,512,intel,integrated,0,15.6,1920,1080,windows,1,4
106,114,acer,Acer Aspire Lite AL15 Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11),455.63,60,amd,ryzen 5,6,12,16,SSD,512,amd,integrated,0,15.6,1920,1080,windows,1,147
107,115,asus,Asus Vivobook 14X K3405ZFB-KM752WS Laptop (12th Gen Core i7 /16GB/ 1TB SSD/Win11/ 4GB Graphic),1031.31,75,intel,core i7,10,16,16,SSD,1024,nvidia,dedicated,0,14.0,2880,1800,windows,1,129
108,116,acer,Acer Aspire Lite 2023 AL15-51 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),473.73,62,intel,core i5,4,8,8,SSD,512,intel,integrated,0,15.6,1920,1080,windows,1,49
109,117,infinix,Infinix Zerobook 13 ZL513 2023 Laptop (13th Gen Core i7/ 32GB/ 1TB SSD/ Win 11 Home),695.5,63,intel,core i7,14,20,32,SSD,1024,intel,integrated,0,15.6,1920,1080,windows,1,83
110,118,asus,Asus Vivobook 14X K3405ZFB-KM541WS Laptop (12th Gen Core i5 /16GB/512GB SSD/Win11),815.43,72,intel,core i5,8,12,16,SSD,512,nvidia,dedicated,0,14.0,2880,1800,windows,1,129
111,119,acer,Acer Nitro 5 AN515-58 NH.QLZSI.001 Gaming Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),1139.25,72,intel,core i7,10,16,16,SSD,512,nvidia,dedicated,0,15.6,1920,1080,windows,1,47
112,120,asus,Asus TUF Gaming F15 2022 FX507ZC4-HN115W Gaming Laptop (12th Gen Core i5/ 8GB/512GB SSD/ Win11 / 4GB Graph),902.5,72,intel,core i5,12,16,8,SSD,512,nvidia,dedicated,0,15.6,1920,1080,windows,1,122
